,x,y,z,trajectory,step
0,0.5848566769656719,0.6058261833943389,0.031015076639192625,0,0
1,0.5778119556298221,0.698863158779534,0.04675645592794317,0,10
2,0.527610738990413,0.7197321107187997,0.06246201763394193,0,20
3,0.47208645970285074,0.7092942882573616,0.08087162357393413,0,30
4,0.4179131776121927,0.6851515600010901,0.10349547206733858,0,40
5,0.36534497767808993,0.6537579124386228,0.13204974653746065,0,50
6,0.31385612138585567,0.6167564792790059,0.16898319879350052,0,60
7,0.2634138651453845,0.5738397008527952,0.21766825615303073,0,70
8,0.21502144331881387,0.5242819698084785,0.281952592444945,0,80
9,0.17092925300135034,0.4683861067812509,0.36424809212673204,0,90
10,0.1338905802895975,0.4088921963333805,0.4623649092455046,0,100
11,0.10547340705203505,0.3508763131123496,0.5684551212395877,0,110
12,0.0851609731498766,0.299396181371906,0.6726197048506362,0,120
13,0.07115364645924714,0.2571831569988758,0.7674365089537416,0,130
14,0.061551273601155754,0.2244036647810399,0.8493933293690878,0,140
15,0.05489393522359361,0.19974277976098687,0.9179312058281485,0,150
16,0.05019468070847847,0.1814588776338596,0.9740723015440258,0,160
17,0.04681470844047793,0.1679492912167453,1.0194609526424407,0,170
18,0.04434199512271612,0.15793621175712258,1.0558472423652976,0,180
19,0.04250678276004924,0.15046737471493374,1.0848525732838463,0,190
20,0.04112859506335471,0.14485432748622498,1.1078846745246917,0,200
21,0.04008378380072038,0.1406044511820607,1.1261235953950797,0,210
22,0.039285693074384516,0.13736494652928394,1.140538083823957,0,220
23,0.038672456330747035,0.13488121214280507,1.1519133589207662,0,230
24,0.03819904568037298,0.13296766778304062,1.1608803693275238,0,240
25,0.03783220108693567,0.13148758561628374,1.1679429784816324,0,250
26,0.0375471379822447,0.1303391185025151,1.173502093969315,0,260
27,0.037325112518536666,0.12944568990651317,1.1778756412590237,0,270
28,0.03715186949552022,0.1287492656466922,1.1813151101974166,0,280
29,0.03701650862457576,0.12820553330061626,1.18401921380794,0,290
30,0.03691063384835257,0.1277804891506592,1.1861446444531283,0,300
31,0.0368277428210219,0.12744788819560424,1.1878149629149946,0,310
32,0.03676279800680009,0.12718742048686052,1.1891274422033922,0,320
33,0.03671191791645303,0.12698332191429423,1.1901586238249153,0,330
34,0.03667199210699519,0.12682331535542107,1.1909686995187954,0,340
35,0.036640682091759864,0.12669782754466805,1.1916050580031081,0,350
36,0.036616112162828396,0.126599380998749,1.1921049258218415,0,360
37,0.03659683417109264,0.1265221312622502,1.1924975639024267,0,370
38,0.03658170627619057,0.12646150387617816,1.19280596107179,0,380
39,0.036569829322990056,0.12641392025828269,1.1930481563249602,0,390
40,0.03656050380828541,0.1263765634518245,1.1932383900760648,0,400
41,0.03655318538871089,0.12634723162616754,1.1933878176259014,0,410
42,0.036547443517100126,0.12632420109878836,1.1935051822341574,0,420
43,0.03654291931094662,0.12630611908156963,1.193597340816893,0,430
44,0.03653937461518185,0.12629192010588622,1.1936697271622148,0,440
45,0.036536593165127904,0.12628077514978794,1.1937265529655297,0,450
46,0.03653441503416136,0.1262720203315251,1.1937712012337827,0,460
47,0.036532690225467464,0.12626514346471562,1.1938062667203815,0,470
48,0.03653134124689545,0.12625974162918274,1.1938338166008158,0,480
49,0.03653028227439587,0.12625550495752286,1.1938554246380584,0,490
50,0.19364310144386304,0.01887260854321783,1.213322056462022,1,0
51,0.04439770446970051,0.09062651527865123,1.1383581502041742,1,10
52,0.039248701477043076,0.11795074438393736,1.1427036336253182,1,20
53,0.038668531979586786,0.12748962960798602,1.1514377923396988,1,30
54,0.03824919404366915,0.13026370808778304,1.1596676942300381,1,40
55,0.037893295017008825,0.1305865327690729,1.1666578976746738,1,50
56,0.03760336409697444,0.13011276960926837,1.1723604611784268,1,60
57,0.037372345141581734,0.1294571019301037,1.1769261906678643,1,70
58,0.03719007863136276,0.12883241237527662,1.180548245561796,1,80
59,0.037046902743303516,0.12829983310884555,1.183408359350804,1,90
60,0.03693461872855257,0.12786582548404493,1.1856614028538384,1,100
61,0.036846606432028424,0.12751925715848023,1.187433987904783,1,110
62,0.03677761863186702,0.12724513124623585,1.18882760602239,1,120
63,0.036723526956546154,0.12702926364277908,1.1899228554574346,1,130
64,0.036681113043107616,0.12685961909742122,1.1907834127497992,1,140
65,0.0366478403739783,0.126726413645055,1.1914594799663771,1,150
66,0.036621722023819185,0.12662185146615665,1.1919905651834004,1,160
67,0.03660124686134183,0.1265397834579248,1.192407731616869,1,170
68,0.036585168007824534,0.12647536691431466,1.1927353922686537,1,180
69,0.03657254651281641,0.12642480498346012,1.192992729468065,1,190
70,0.036562638185781315,0.1263851080552802,1.1931948663239627,1,200
71,0.0365548625469037,0.1263539388680296,1.1933536439618138,1,210
72,0.03654875983355331,0.1263294693533155,1.1934783338024504,1,220
73,0.03654395417937648,0.1263102553034233,1.1935762579629194,1,230
74,0.03654018516164635,0.1262951684302729,1.193653165874254,1,240
75,0.03653722763309471,0.12628332234352296,1.1937135638927363,1,250
76,0.03653490300504652,0.12627401977407518,1.1937609980229817,1,260
77,0.03653308277954916,0.1262667135513188,1.1937982597749506,1,270
78,0.03653164925645131,0.12626097615103465,1.193827520110394,1,280
79,0.036530519875286147,0.12625647238534973,1.1938504877667375,1,290
80,0.03652964051128682,0.1262529338338402,1.1938685390359918,1,300
81,0.036528947557578344,0.1262501545421588,1.1938827161640917,1,310
82,0.03652840286933418,0.12624797418585867,1.1938938377794395,1,320
83,0.03652797164769393,0.1262462605467988,1.1939025769539033,1,330
84,0.03652763867887431,0.12624491406554633,1.1939094475492331,1,340
