,g1,g2,g3,tempo
0,0.5848566769656719,0.6058261833943389,0.031015076639192625,449
1,0.19364310144386304,0.01887260854321783,1.213322056462022,58
2,0.8648141441655858,0.44900156156534043,0.15489066253875775,388
3,0.5588436326839135,0.9165239877007184,0.4605772067120446,317
4,0.9161393386535024,0.6114850988530041,0.04753142922636472,448
5,0.7368844870203125,0.5082024633674327,0.15624573874469516,385
6,0.17745508863701806,0.8888218428829481,0.4584694226566586,302
7,0.46085339138092535,0.7637448627436388,0.14499403148022505,378
8,0.058457520820023624,0.06075007282275149,0.9162311251849132,249
9,0.30383145228657443,0.9057537913698133,0.2916973061192153,334
10,0.15316582626478079,0.17124968085191514,1.1577994380306755,45
11,0.07231889525814703,0.3550127775463007,0.28474297062441256,332
12,1.4657549764959796,0.7586717392999837,0.0524105462711689,461
13,0.7039100332706674,0.25730786214010276,0.15177920364619413,388
14,0.14284799332177808,0.3445283093199207,0.6423336143946742,290
15,0.0313571294602996,0.7051009643391652,0.6956209039824992,259
16,0.21195796883785126,1.3029704904944204,0.11714045140304652,359
17,0.4237700609076251,0.6121253759969025,0.29874672653550893,342
18,0.5943442430324447,1.0449585223586053,0.03261605676014657,445
19,0.1889639782864778,0.3668886683552328,0.13325642088809694,373
20,0.12308455131963755,1.2168862127726836,0.24277763373135725,322
21,0.1817803486198997,0.7557970084298427,0.15779097175482995,357
22,0.6185728135255244,0.3292159621521835,0.16783271978048248,380
23,1.3289399993363216,0.5773686229802032,0.007756935949709651,0
24,0.2728344724657437,0.9109790510058877,0.5751551496110762,291
25,0.1810129277289077,0.8971410420701894,0.18230912863515325,348
26,1.3247611673945556,0.6330780513343077,0.12752736626555708,407
27,1.3299720149511989,0.9001731208802781,0.13207367854825575,404
28,0.2813401097657903,1.0511144442301168,0.4378854567972462,307
